CONTROL,SHIPMONTH,WEIGHT,WGTADJ,REGION,SECTIONS,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
20010001,202001,63.3786,1.1678,3,1,2,52000,960,1,2,3,3,9,I,I,I,I,I,I,I,I
20010002,202001,63.3786,1.1678,3,1,2,39900,1300,3,2,3,3,9,R,R,R,R,R,R,R,R
20010003,202001,19.2842,1.1678,4,1,2,60000,1200,3,2,3,3,1,I,I,I,I,I,I,I,I
20010004,202001,19.2842,1.1678,4,1,2,9,730,1,2,1,2,1,R,9,R,R,I,R,I,I
20010005,202001,19.2842,1.1678,4,1,2,87000,500,1,2,1,3,1,R,R,R,R,R,R,R,R
20010006,202001,19.2842,1.1678,4,1,2,56000,1100,3,9,1,2,1,I,I,I,I,I,I,I,I
20010007,202001,11.2,1.1678,1,1,2,9,1000,1,2,1,3,1,R,9,I,I,I,R,I,I
20010008,202001,63.3786,1.1678,3,1,2,42600,700,1,2,3,3,9,R,R,R,R,R,I,R,R
20010009,202001,63.3786,1.1678,3,1,2,46300,700,1,2,3,3,9,I,I,I,I,I,I,I,I
20010010,202001,63.3786,1.1678,3,1,2,61000,1200,3,1,3,3,9,I,I,I,I,I,I,I,I
20010011,202001,63.3786,1.1678,3,1,2,67000,1300,3,2,3,3,9,I,I,I,I,I,I,I,I
20010012,202001,63.3786,1.1678,3,1,2,63000,1300,3,2,3,2,9,I,I,I,I,I,I,I,I
20010013,202001,63.3786,1.1678,3,1,2,56000,1200,3,2,1,2,9,R,R,R,R,I,R,I,I
20010014,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010015,202001,14.5636,1.1678,2,1,2,41400,700,1,2,1,3,1,I,I,I,I,I,I,I,I
20010016,202001,14.5636,1.1678,2,1,2,9,1000,3,2,1,3,1,R,9,I,I,I,R,I,I
20010017,202001,14.5636,1.1678,2,1,2,9,700,1,2,1,3,1,R,9,I,I,I,I,I,I
20010018,202001,14.5636,1.1678,2,1,2,53000,990,3,2,1,3,1,I,I,I,I,I,I,I,I
20010019,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010020,202001,14.5636,1.1678,2,1,2,63000,1200,3,2,3,3,1,R,R,R,R,R,R,R,R
20010021,202001,14.5636,1.1678,2,1,2,44500,840,1,2,1,3,1,R,R,R,R,R,R,R,R
20010022,202001,14.5636,1.1678,2,1,2,55000,1000,1,1,1,3,1,I,I,I,I,I,I,I,I
20010023,202001,63.3786,1.1678,3,1,2,54000,1300,3,1,3,3,9,R,R,R,R,R,R,R,R
20010024,202001,14.5636,1.1678,2,1,2,79000,1100,3,1,1,3,1,R,R,R,R,I,R,I,I
20010025,202001,14.5636,1.1678,2,1,2,55000,1100,3,1,1,3,1,R,R,R,R,I,R,I,I
20010026,202001,14.5636,1.1678,2,1,2,60000,990,3,2,1,2,1,R,R,R,R,I,R,I,I
20010027,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010028,202001,14.5636,1.1678,2,1,2,56000,1100,3,3,1,3,1,I,I,I,I,I,I,I,I
20010029,202001,14.5636,1.1678,2,1,2,58000,1100,3,2,1,3,1,I,I,I,I,I,I,I,I
20010030,202001,63.3786,1.1678,3,1,2,57000,1100,1,2,3,3,9,R,I,R,R,R,R,R,R
20010031,202001,63.3786,1.1678,3,1,2,57000,1100,1,2,3,2,9,I,I,I,I,I,I,I,I
20010032,202001,14.5636,1.1678,2,1,2,47000,840,1,2,3,3,1,R,R,R,R,R,R,R,R
20010033,202001,19.2842,1.1678,4,1,2,67000,940,1,2,1,3,1,R,R,R,R,R,R,R,R
20010034,202001,14.5636,1.1678,2,1,2,61000,1200,3,3,1,3,1,I,I,I,I,I,I,I,I
20010035,202001,14.5636,1.1678,2,1,2,59000,1200,3,2,1,3,1,I,I,I,I,I,I,I,I
20010036,202001,14.5636,1.1678,2,1,2,52000,920,3,2,3,3,1,R,R,R,R,R,R,R,R
20010037,202001,11.2,1.1678,1,1,2,46300,780,1,9,1,3,1,I,I,I,I,I,I,I,I
20010038,202001,11.2,1.1678,1,1,2,58000,800,1,2,3,3,1,R,R,R,R,R,R,R,R
20010039,202001,11.2,1.1678,1,1,2,62000,960,1,2,1,3,1,R,R,R,R,R,R,R,R
20010040,202001,11.2,1.1678,1,1,2,9,1000,3,2,1,3,1,R,9,I,I,I,I,I,I
20010041,202001,11.2,1.1678,1,1,2,46800,800,1,2,1,3,1,I,I,I,I,I,I,I,I
20010042,202001,11.2,1.1678,1,1,2,56000,780,1,9,3,3,1,R,R,R,R,R,R,R,R
20010043,202001,11.2,1.1678,1,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010044,202001,11.2,1.1678,1,1,2,9,670,1,2,1,3,1,R,9,I,I,I,R,I,I
20010045,202001,11.2,1.1678,1,1,2,74000,670,1,2,3,3,1,R,R,R,R,R,R,R,R
20010046,202001,11.2,1.1678,1,1,2,9,1000,3,2,1,3,1,R,9,R,R,I,R,I,I
20010047,202001,63.3786,1.1678,3,1,2,65000,1200,3,2,1,3,9,R,R,R,R,R,R,R,R
20010048,202001,63.3786,1.1678,3,1,2,61000,1200,3,2,3,2,9,I,I,I,I,I,I,I,I
20010049,202001,63.3786,1.1678,3,1,2,56000,1100,3,2,3,3,9,I,I,I,I,I,I,I,I
20010050,202001,14.5636,1.1678,2,1,2,52000,1100,3,2,1,3,1,R,R,R,R,I,R,I,I
20010051,202001,14.5636,1.1678,2,1,2,56000,1100,3,1,3,3,1,I,I,I,I,I,I,I,I
20010052,202001,14.5636,1.1678,2,1,2,58000,1100,3,1,1,3,1,R,I,R,R,I,R,I,I
20010053,202001,19.2842,1.1678,4,1,2,47900,780,1,2,1,1,9,R,R,R,R,R,R,R,R
20010054,202001,11.2,1.1678,1,1,2,44900,780,1,9,1,1,9,R,R,R,R,R,R,R,R
20010055,202001,19.2842,1.1678,4,1,2,49400,1100,3,9,1,1,9,R,R,R,R,I,R,I,R
20010056,202001,14.5636,1.1678,2,1,2,9,1100,3,1,1,1,9,R,9,I,I,I,R,I,R
20010057,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,1,9,R,9,I,I,I,R,I,R
20010058,202001,14.5636,1.1678,2,1,2,48200,840,1,2,1,1,9,I,I,I,I,I,I,I,I
20010059,202001,63.3786,1.1678,3,1,2,61000,1200,3,2,3,1,9,I,I,I,I,I,I,I,I
20010060,202001,63.3786,1.1678,3,1,2,31400,700,1,2,3,1,9,R,R,R,R,R,R,R,R
20010061,202001,11.2,1.1678,1,1,2,95000,670,1,2,1,1,9,R,R,R,R,R,R,R,R
20010062,202001,11.2,1.1678,1,1,2,54000,1100,3,9,3,1,9,R,R,R,R,I,I,R,R
20010063,202001,63.3786,1.1678,3,1,2,61000,1200,3,2,3,1,9,I,I,I,I,I,I,I,I
20010064,202001,11.2,1.1678,1,1,2,9,920,3,9,1,1,9,R,9,R,R,I,R,I,R
20010065,202001,11.2,1.1678,1,1,2,51000,920,3,2,1,1,9,I,I,I,I,I,I,I,I
20010066,202001,11.2,1.1678,1,1,2,52000,960,1,2,1,1,9,R,I,I,I,I,R,I,R
20010067,202001,63.3786,1.1678,3,1,2,48500,1200,3,2,1,1,9,R,R,R,R,R,R,R,R
20010068,202001,63.3786,1.1678,3,1,2,61000,1200,3,1,3,1,9,I,I,I,I,I,I,I,I
20010069,202001,63.3786,1.1678,3,1,1,64000,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010070,202001,63.3786,1.1678,3,1,1,49900,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010071,202001,14.5636,1.1678,2,1,1,58000,1100,3,9,9,9,9,I,I,I,I,9,9,9,9
20010072,202001,11.2,1.1678,1,1,1,45000,1000,1,9,9,9,9,R,R,R,R,9,9,9,9
20010073,202001,19.2842,1.1678,4,1,1,60000,1200,3,9,9,9,9,R,R,R,R,9,9,9,9
20010074,202001,63.3786,1.1678,3,1,1,61000,1200,3,9,9,9,9,I,I,I,I,9,9,9,9
20010075,202001,63.3786,1.1678,3,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010076,202001,63.3786,1.1678,3,1,1,31400,700,1,9,9,9,9,I,I,I,I,9,9,9,9
20010077,202001,19.2842,1.1678,4,1,1,81000,1100,1,9,9,9,9,R,R,R,R,9,9,9,9
20010078,202001,63.3786,1.1678,3,1,1,69000,1200,3,9,9,9,9,R,R,R,R,9,9,9,9
20010079,202001,14.5636,1.1678,2,1,1,66000,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010080,202001,14.5636,1.1678,2,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010081,202001,14.5636,1.1678,2,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010082,202001,14.5636,1.1678,2,1,1,43000,960,1,9,9,9,9,R,R,R,R,9,9,9,9
20010083,202001,63.3786,1.1678,3,1,1,56000,1100,3,9,9,9,9,I,I,I,I,9,9,9,9
20010084,202001,14.5636,1.1678,3,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010085,202001,63.3786,1.1678,3,1,1,39000,960,1,9,9,9,9,R,R,R,R,9,9,9,9
20010086,202001,11.2,1.1678,1,1,1,47800,920,1,9,9,9,9,R,R,R,R,9,9,9,9
20010087,202001,63.3786,1.1678,3,1,1,61000,1200,3,9,9,9,9,I,I,I,I,9,9,9,9
20010088,202001,19.2842,1.1678,4,1,1,34100,840,1,9,9,9,9,R,R,R,R,9,9,9,9
20010089,202001,63.3786,1.1678,3,1,1,56000,1100,3,9,9,9,9,R,I,R,R,9,9,9,9
20010090,202001,11.2,1.1678,1,1,1,44300,670,1,9,9,9,9,I,I,I,I,9,9,9,9
20010091,202001,14.5636,1.1678,2,1,1,33200,1000,1,9,9,9,9,R,R,R,R,9,9,9,9
20010092,202001,11.2,1.1678,1,1,1,56000,1100,3,9,9,9,9,R,I,R,R,9,9,9,9
20010093,202001,14.5636,1.1678,2,1,1,58000,1100,3,9,9,9,9,R,I,R,R,9,9,9,9
20010094,202001,14.5636,1.1678,2,1,1,61000,1200,3,9,9,9,9,R,I,R,R,9,9,9,9
20010095,202001,11.2,1.1678,1,1,1,60000,920,1,9,9,9,9,R,R,R,R,9,9,9,9
20010096,202001,14.5636,1.1678,2,1,1,61000,1200,3,9,9,9,9,R,I,R,R,9,9,9,9
20010097,202001,14.5636,1.1678,2,1,1,41400,700,1,9,9,9,9,R,I,R,R,9,9,9,9
20010098,202001,14.5636,1.1678,2,1,1,44900,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010099,202001,14.5636,1.1678,2,1,1,41400,700,1,9,9,9,9,R,I,R,R,9,9,9,9
20010100,202001,14.5636,1.1678,2,1,1,79000,960,1,9,9,9,9,R,R,R,R,9,9,9,9
20010101,202001,14.5636,1.1678,2,1,1,66000,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010102,202001,14.5636,1.1678,2,1,1,66000,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010103,202001,14.5636,1.1678,2,1,1,56000,1100,3,9,9,9,9,R,I,R,R,9,9,9,9
20010104,202001,14.5636,1.1678,2,1,1,58000,1100,3,9,9,9,9,R,I,R,R,9,9,9,9
20010105,202001,63.3786,1.1678,3,1,1,48800,1200,3,9,9,9,9,R,R,R,R,9,9,9,9
20010106,202001,14.5636,1.1678,2,1,1,61000,1200,3,9,9,9,9,R,I,R,R,9,9,9,9
20010107,202001,11.2,1.1678,1,1,1,61000,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010108,202001,14.5636,1.1678,2,1,1,54000,1000,3,9,9,9,9,R,I,R,R,9,9,9,9
20010109,202001,14.5636,1.1678,2,1,1,50000,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010110,202001,11.2,1.1678,1,1,1,41000,670,1,9,9,9,9,R,R,R,R,9,9,9,9
20010111,202001,14.5636,1.1678,2,1,1,66000,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010112,202001,63.3786,1.1678,3,1,1,52000,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010113,202001,14.5636,1.1678,2,1,1,51000,920,3,9,9,9,9,I,I,I,I,9,9,9,9
20010114,202001,14.5636,1.1678,2,1,1,33200,1100,3,9,9,9,9,R,R,R,R,9,9,9,9
20010115,202001,63.3786,1.1678,3,1,1,59000,1200,3,9,9,9,9,R,R,R,R,9,9,9,9
20010116,202001,63.3786,1.1678,3,1,1,61000,1200,3,9,9,9,9,I,I,I,I,9,9,9,9
20010117,202001,63.3786,1.1678,3,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010118,202001,63.3786,1.1678,3,1,1,50000,1300,3,9,9,9,9,R,R,R,R,9,9,9,9
20010119,202001,14.5636,1.1678,2,1,1,63000,1300,3,9,9,9,9,I,I,I,I,9,9,9,9
20010120,202001,14.5636,1.1678,5,1,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
20010121,202001,31.6893,0.9954,3,2,2,85000,2200,3,2,3,3,9,R,R,R,R,R,R,R,R
20010122,202001,31.6893,0.9954,3,2,2,113000,1800,3,1,3,3,9,R,I,R,R,I,R,R,R
20010123,202001,31.6893,0.9954,3,2,2,113000,1800,3,2,3,2,9,I,I,I,I,I,I,I,I
20010124,202001,31.6893,0.9954,3,2,2,126000,2200,3,2,3,3,9,R,R,R,R,R,R,R,R
20010125,202001,31.6893,0.9954,3,2,2,120000,2000,3,2,3,3,9,I,I,I,I,I,I,I,I
20010126,202001,31.6893,0.9954,3,2,2,126000,2200,3,2,3,3,9,R,I,I,I,I,I,I,I
20010127,202001,9.6421,0.9954,4,2,2,129000,1600,3,2,1,2,1,R,R,R,R,R,R,R,R
20010128,202001,9.6421,0.9954,4,2,2,103000,1300,1,2,3,2,1,R,R,R,R,I,R,R,R
20010129,202001,9.6421,0.9954,4,2,2,85000,1100,1,2,1,3,1,R,R,R,R,R,R,R,R
20010130,202001,9.6421,0.9954,4,2,2,103000,1500,3,2,3,3,1,I,I,I,I,I,I,I,I
20010131,202001,9.6421,0.9954,4,2,2,236000,1200,3,9,3,2,1,R,R,R,R,R,R,R,R
20010132,202001,9.6421,0.9954,4,2,2,123000,2100,3,2,1,2,1,R,I,I,I,I,R,I,I
20010133,202001,9.6421,0.9954,4,2,2,109000,1200,1,2,1,3,1,R,R,R,R,R,R,R,R
20010134,202001,9.6421,0.9954,4,2,2,88000,990,1,2,1,2,1,R,I,I,I,I,R,I,I
20010135,202001,9.6421,0.9954,4,2,2,109000,1400,3,2,1,3,1,R,R,R,R,R,R,R,R
20010136,202001,9.6421,0.9954,4,2,2,147000,2100,3,9,1,2,1,R,R,R,R,R,R,R,R
20010137,202001,9.6421,0.9954,4,2,2,122000,2000,3,2,3,2,1,I,I,I,I,I,I,I,I
20010138,202001,9.6421,0.9954,4,2,2,135000,1600,3,2,3,2,1,R,R,R,R,I,R,R,R
20010139,202001,7.2818,0.9954,3,2,2,87000,1600,3,2,3,3,9,R,R,R,R,R,R,R,R
20010140,202001,31.6893,0.9954,3,2,2,102000,2500,3,1,3,3,9,R,R,R,R,I,R,R,R
20010141,202001,9.6421,0.9954,4,2,2,104000,1500,1,2,3,2,1,I,I,I,I,I,I,I,I
20010142,202001,9.6421,0.9954,4,2,2,111000,1700,3,9,3,3,1,R,I,I,I,I,I,I,I
20010143,202001,9.6421,0.9954,4,2,2,110000,1200,1,2,1,3,1,R,R,R,R,R,R,R,R
20010144,202001,9.6421,0.9954,4,2,2,79000,990,1,2,3,2,1,I,I,I,I,I,I,I,I
20010145,202001,9.6421,0.9954,4,2,2,236000,1500,3,2,1,2,1,R,R,R,R,R,R,R,R
20010146,202001,9.6421,0.9954,4,2,2,91000,1200,1,2,3,2,1,I,I,I,I,I,I,I,I
20010147,202001,9.6421,0.9954,4,2,2,129000,990,1,9,3,3,1,R,R,R,R,R,R,R,R
20010148,202001,6.4281,0.9954,5,3,2,188000,2200,3,1,3,3,1,R,R,R,R,R,R,R,R
20010149,202001,7.2818,0.9954,4,2,2,122000,2100,3,2,1,3,1,I,I,I,I,I,I,I,I
20010150,202001,9.6421,0.9954,4,2,2,100000,1400,3,2,1,2,1,R,I,I,I,I,I,I,I
20010151,202001,5.6,0.9954,1,2,2,98000,1300,3,9,1,3,1,I,I,I,I,I,I,I,I
20010152,202001,31.6893,0.9954,3,2,2,147000,2500,3,1,3,3,9,R,R,R,R,R,R,R,R
20010153,202001,31.6893,0.9954,3,2,2,111000,1600,3,2,3,3,9,R,R,R,R,I,R,R,R
20010154,202001,31.6893,0.9954,3,2,2,110000,1500,3,1,3,3,9,R,R,R,R,I,I,I,I
20010155,202001,31.6893,0.9954,3,2,2,96000,1500,3,2,3,3,9,R,R,R,R,R,R,R,R
20010156,202001,31.6893,0.9954,3,2,2,105000,1600,3,2,3,3,9,R,I,I,I,I,I,I,I
20010157,202001,31.6893,0.9954,3,2,2,170000,1800,1,2,1,3,9,R,R,R,R,R,R,R,R
20010158,202001,31.6893,0.9954,3,2,2,94000,1400,3,2,3,3,9,R,R,R,R,R,R,R,R
20010159,202001,31.6893,0.9954,3,2,2,88000,2300,3,2,3,2,9,R,R,R,R,R,R,R,R
20010160,202001,31.6893,0.9954,3,2,2,94000,2100,3,1,3,3,9,R,R,R,R,R,R,R,R
20010161,202001,31.6893,0.9954,3,2,2,108000,1600,3,2,3,3,9,I,I,I,I,I,I,I,I
20010162,202001,7.2818,0.9954,2,2,2,91000,1200,1,2,3,3,1,R,I,R,R,R,R,R,R
20010163,202001,7.2818,0.9954,2,2,2,90000,1100,3,2,1,3,1,I,I,I,I,I,I,I,I
20010164,202001,9.6421,0.9954,2,2,2,71000,1300,3,2,1,3,1,R,R,R,R,I,R,I,I
20010165,202001,7.2818,0.9954,2,2,2,9,1600,3,2,1,3,1,R,9,I,I,I,R,I,I
20010166,202001,31.6893,0.9954,3,2,2,98000,1200,3,2,3,2,9,I,I,I,I,I,I,I,I
20010167,202001,7.2818,0.9954,2,2,2,78000,1500,3,2,1,3,1,R,R,R,R,R,R,R,R
20010168,202001,7.2818,0.9954,2,2,2,105000,1600,3,2,1,2,1,I,I,I,I,I,I,I,I
20010169,202001,7.2818,0.9954,2,2,2,54000,1600,3,2,1,3,1,R,R,R,R,I,R,I,I
20010170,202001,7.2818,0.9954,2,2,2,120000,1800,3,1,1,3,1,R,R,R,R,I,R,I,I
20010171,202001,7.2818,0.9954,2,2,2,92000,1500,3,2,1,3,1,R,R,R,R,I,R,I,I
20010172,202001,31.6893,0.9954,3,2,2,105000,1600,3,2,3,3,9,R,I,I,I,I,I,I,I
20010173,202001,31.6893,0.9954,3,2,2,98000,1200,3,1,3,3,9,I,I,I,I,I,I,I,I
20010174,202001,31.6893,0.9954,3,2,2,58000,1600,3,2,3,3,9,R,R,R,R,R,R,R,R
20010175,202001,7.2818,0.9954,2,2,2,184000,1700,3,2,3,3,1,R,R,R,R,R,R,R,R
20010176,202001,7.2818,0.9954,2,2,2,67000,1500,3,1,3,3,1,R,R,R,R,R,R,R,R
20010177,202001,9.6421,0.9954,4,2,2,103000,1500,3,2,3,2,1,I,I,I,I,I,I,I,I
20010178,202001,9.6421,0.9954,4,2,2,64000,1100,3,2,1,2,1,R,R,R,R,I,R,I,I
20010179,202001,9.6421,0.9954,4,2,2,114000,2100,3,2,3,3,1,R,R,R,R,R,R,R,R
20010180,202001,9.6421,0.9954,4,2,2,103000,1500,3,2,3,2,1,I,I,I,I,I,I,I,I
20010181,202001,5.6,0.9954,1,2,2,98000,1200,1,2,1,3,1,R,R,R,R,R,R,R,R
20010182,202001,31.6893,0.9954,3,2,2,96000,1200,1,2,1,3,9,I,I,I,I,I,I,I,I
20010183,202001,31.6893,0.9954,3,2,2,101000,1500,3,1,3,2,9,I,I,I,I,I,I,I,I
20010184,202001,31.6893,0.9954,3,2,2,103000,1500,3,2,3,3,9,I,I,I,I,I,I,I,I
20010185,202001,31.6893,0.9954,3,2,2,103000,1500,3,2,3,3,9,R,I,R,R,I,I,I,I
20010186,202001,31.6893,0.9954,3,2,2,133000,2100,3,2,3,3,9,R,R,R,R,R,R,R,R
20010187,202001,31.6893,0.9954,3,2,2,98000,1200,3,2,3,3,9,I,I,I,I,I,I,I,I
20010188,202001,31.6893,0.9954,3,2,2,170000,2500,3,1,3,3,9,R,R,R,R,R,R,R,R
20010189,202001,7.2818,0.9954,2,2,2,79000,1200,1,1,1,3,1,R,R,R,R,R,R,R,R
20010190,202001,7.2818,0.9954,2,2,2,54000,1100,3,2,3,3,1,R,R,R,R,R,R,R,R
20010191,202001,31.6893,0.9954,3,2,2,109000,1700,3,2,3,3,9,I,I,I,I,I,I,I,I
20010192,202001,9.6421,0.9954,4,2,2,64000,990,3,2,1,3,1,R,R,R,R,R,R,R,R
20010193,202001,9.6421,0.9954,4,2,2,64000,1300,3,2,1,3,1,R,R,R,R,R,R,R,R
20010194,202001,5.6,0.9954,1,2,2,75000,1200,3,2,3,3,1,R,R,R,R,R,R,R,R
20010195,202001,5.6,0.9954,1,2,2,147000,1500,3,2,1,3,1,R,R,R,R,R,R,R,R
20010196,202001,5.6,0.9954,1,2,2,70000,1600,3,2,3,3,1,R,R,R,R,R,R,R,R
20010197,202001,5.6,0.9954,1,2,2,187000,1600,1,2,1,3,1,R,R,R,R,R,R,R,R
20010198,202001,31.6893,0.9954,3,2,2,135000,2500,3,3,3,3,9,I,I,I,I,I,I,I,I
20010199,202001,31.6893,0.9954,3,2,2,85000,1600,3,2,3,3,9,R,R,R,R,R,R,R,R
20010200,202001,31.6893,0.9954,3,2,2,85000,1900,3,2,3,3,9,R,R,R,R,R,R,R,R
20010201,202001,31.6893,0.9954,3,2,2,113000,1900,3,2,3,3,9,R,R,R,R,I,R,I,R
20010202,202001,31.6893,0.9954,3,2,2,101000,1500,3,1,3,3,9,I,I,I,I,I,I,I,I
20010203,202001,31.6893,0.9954,3,2,2,77000,1200,3,2,1,3,9,R,R,R,R,R,R,R,R
20010204,202001,31.6893,0.9954,3,2,2,127000,2500,3,2,3,3,9,R,R,R,R,R,R,R,R
20010205,202001,31.6893,0.9954,3,2,2,126000,2000,3,1,3,3,9,R,R,R,R,R,R,R,R
20010206,202001,31.6893,0.9954,3,2,2,101000,1400,3,2,3,3,9,I,I,I,I,I,I,I,I
20010207,202001,31.6893,0.9954,3,2,2,76000,1600,3,2,3,3,9,R,R,R,R,R,R,R,R
20010208,202001,31.6893,0.9954,3,2,2,135000,2500,3,2,3,3,9,I,I,I,I,I,I,I,I
20010209,202001,31.6893,0.9954,3,2,2,118000,1900,3,1,3,3,9,I,I,I,I,I,I,I,I
20010210,202001,31.6893,0.9954,3,2,2,129000,2200,3,2,3,3,9,R,I,R,R,R,R,R,R
20010211,202001,31.6893,0.9954,3,2,2,170000,1900,3,1,3,3,9,R,R,R,R,R,R,R,R
20010212,202001,31.6893,0.9954,3,2,2,74000,1600,3,2,1,2,9,R,R,R,R,R,R,R,R
20010213,202001,31.6893,0.9954,3,2,2,116000,1600,3,2,3,3,9,R,R,R,R,R,I,R,R
20010214,202001,31.6893,0.9954,3,2,2,105000,1600,3,2,3,3,9,I,I,I,I,I,I,I,I
20010215,202001,31.6893,0.9954,3,2,2,117000,1900,3,2,3,2,9,I,I,I,I,I,I,I,I
20010216,202001,31.6893,0.9954,3,2,2,80000,1200,3,2,3,3,9,R,R,R,R,R,R,R,R
20010217,202001,9.6421,0.9954,4,2,2,90000,1500,3,9,3,1,9,R,R,R,R,R,R,R,R
20010218,202001,9.6421,0.9954,4,2,2,76000,1200,3,9,1,1,9,R,R,R,R,R,R,R,R
20010219,202001,9.6421,0.9954,4,2,2,88000,1500,3,9,3,1,9,R,R,R,R,R,R,R,R
20010220,202001,9.6421,0.9954,4,2,2,64000,1100,3,9,1,1,9,R,R,R,R,R,R,R,R
20010221,202001,9.6421,0.9954,4,2,2,108000,1800,3,9,3,1,9,R,R,R,R,R,R,R,R
20010222,202001,9.6421,0.9954,4,2,2,101000,1500,3,9,3,1,9,R,I,I,I,I,I,I,R
20010223,202001,9.6421,0.9954,4,2,2,156000,2400,3,9,3,1,9,R,R,R,R,R,R,R,R
20010224,202001,9.6421,0.9954,4,2,2,105000,1600,3,9,3,1,9,I,I,I,I,I,I,I,I
20010225,202001,9.6421,0.9954,4,2,2,136000,1800,3,2,3,1,9,R,R,R,R,I,R,R,R
20010226,202001,9.6421,0.9954,4,2,2,113000,1800,3,9,3,1,9,I,I,I,I,I,I,I,I
20010227,202001,9.6421,0.9954,4,2,2,82000,990,1,2,3,1,9,R,R,R,R,R,R,R,R
20010228,202001,31.6893,0.9954,3,2,2,125000,2100,3,1,3,1,9,I,I,I,I,I,I,I,I
20010229,202001,9.6421,0.9954,4,2,2,111000,1600,1,9,3,1,9,R,R,R,R,I,R,R,R
20010230,202001,9.6421,0.9954,4,2,2,125000,2000,3,9,3,1,9,R,R,R,R,R,R,R,R
20010231,202001,9.6421,0.9954,4,2,2,115000,1800,3,9,3,1,9,I,I,I,I,I,I,I,I
20010232,202001,9.6421,0.9954,4,2,2,236000,1700,3,9,3,1,9,R,R,R,R,R,R,R,R
20010233,202001,9.6421,0.9954,4,2,2,64000,1200,3,2,3,1,9,R,R,R,R,I,I,I,R
20010234,202001,6.4281,0.9954,5,3,2,221000,2700,3,2,3,1,9,R,R,R,R,R,R,R,R
20010235,202001,9.6421,0.9954,4,2,2,103000,1500,3,2,3,1,9,I,I,I,I,I,I,I,I
20010236,202001,9.6421,0.9954,4,2,2,98000,1300,3,2,3,1,9,I,I,I,I,I,I,I,I
20010237,202001,9.6421,0.9954,4,2,2,98000,1300,3,2,1,1,9,I,I,I,I,I,I,I,I
20010238,202001,5.6,0.9954,1,2,2,157000,1600,3,2,1,1,9,R,R,R,R,R,R,R,R
20010239,202001,5.6,0.9954,1,2,2,9,1200,1,2,1,1,9,R,9,I,I,I,R,R,R
20010240,202001,5.6,0.9954,1,2,2,9,1600,3,9,1,1,9,R,9,I,I,I,R,R,R
20010241,202001,5.6,0.9954,1,2,2,9,1700,1,9,1,1,9,R,9,I,I,I,R,R,R
20010242,202001,5.6,0.9954,1,2,2,56000,1300,3,9,3,1,9,R,R,R,R,R,R,R,R
20010243,202001,31.6893,0.9954,3,2,2,113000,1900,3,2,3,1,9,R,R,R,R,R,R,R,R
20010244,202001,9.6421,0.9954,4,2,2,100000,1400,3,2,1,1,9,I,I,I,I,I,I,I,I
20010245,202001,9.6421,0.9954,4,2,2,119000,2000,3,2,1,1,9,I,I,I,I,I,I,I,I
20010246,202001,7.2818,0.9954,2,2,2,101000,1500,3,2,1,1,9,I,I,I,I,I,I,I,I
20010247,202001,7.2818,0.9954,2,2,2,127000,2400,3,1,1,1,9,R,R,R,R,R,R,R,R
20010248,202001,7.2818,0.9954,2,2,2,118000,1900,3,2,3,1,9,R,I,R,R,R,R,R,R
20010249,202001,7.2818,0.9954,2,2,2,184000,2400,3,1,3,1,9,R,R,R,R,R,R,R,R
20010250,202001,31.6893,0.9954,3,2,2,87000,1600,3,2,3,1,9,R,R,R,R,R,R,R,R
20010251,202001,31.6893,0.9954,3,2,2,93000,2100,3,1,3,1,9,R,R,R,R,R,R,R,R
20010252,202001,31.6893,0.9954,3,2,2,109000,1700,3,2,3,1,9,I,I,I,I,I,I,I,I
20010253,202001,7.2818,0.9954,2,2,2,101000,1500,3,2,3,1,9,R,I,I,I,I,I,I,R
20010254,202001,7.2818,0.9954,2,2,2,132000,2400,3,1,3,1,9,R,R,R,R,R,R,R,R
